country,western,NielsenWEIRD,population,percent_children,population_density,surface_area,urban_pc,religiosity_index,cip,household_size,individualism,gdp_total,gdp_per_capita,education_index,democracy_index,GINI_index,ethnic_fractionalization,UN_Recode
Switzerland,yes,yes,8.72,15.02,220.6,41,73.8,0.41,0.299106171896048,2.24459563606459,68,731425,85135,0.897,8.9,33.1,0.367,
Syrian Arab Republic,no,no,18.28,30.69,99.5,185,54.2,0.75,0.00895982255204602,NA,NA,20379,1194,0.412,1.43,37.5,0.213,
Tajikistan,no,no,9.75,37.35,69.7,143,27.1,0.76,0.00530580652826573,5.9931391776258804,NA,8333,894,0.659,1.94,34.0,0.367,
Thailand,no,no,69.95,16.3,136.9,513,49.9,0.95,0.128148590866532,3.69378409603518,20,542017,7785,0.661,6.04,35.0,0.352,
Timor-Leste,no,no,1.34,NA,90.4,15,30.6,NA,NA,5.26791911327593,NA,2018,1561,0.505,7.06,28.7,0.802,
Togo,no,no,8.48,40.3,155.9,57,41.7,0.86,NA,4.55131040551872,NA,7270,899,0.506,2.8,42.4,0.88,
Tokelau,no,no,0,NA,136.8,0,0,NA,NA,5.24390243902439,NA,NA,NA,NA,NA,NA,NA,
Tonga,no,no,0.11,34.36,148.3,1,23.1,NA,0,NA,NA,508,4865,0.77,NA,37.6,NA,
Trinidad and Tobago,no,no,1.4,19.82,273.6,5,53.2,0.84,0.0418866483115643,3.29086780304119,16,23209,16637,0.722,7.16,40.3,0.655,
Tunisia,no,no,11.94,24.22,76.8,164,68.9,0.92,0.0325365352401791,NA,NA,38797,3318,0.659,5.99,32.8,0.034,
Turkey,no,no,85.04,23.57,110.5,784,75.1,0.67,0.117045897031773,4.07131378673696,37,761426,9127,0.689,4.35,41.9,0.521,Türkiye
Turkmenistan,no,no,6.12,30.63,13,488,51.6,0.72,NA,NA,NA,48276,8124,0.626,1.66,40.8,0.255,
Turks and Caicos Islands,no,no,0.04,NA,41.3,163,93.1,NA,NA,NA,NA,1197,31353,NA,NA,NA,NA,United Kingdom
Tuvalu,no,no,0.01,NA,397.5,0,62.4,NA,NA,NA,NA,47,4036,NA,NA,39.1,NA,
Uganda,no,no,47.12,45.55,235.8,242,23.8,0.96,0.00690346566340952,4.53433756282406,NA,32609,737,0.525,4.48,42.7,0.883,
Ukraine,no,yes,43.47,15.91,75,604,69.4,0.44,0.032847032972207,2.45829841936276,NA,1537818,34968,0.794,5.57,25.6,0.37,
United Arab Emirates,no,no,9.99,14.89,119.5,71,86.5,0.95,0.102480427628053,NA,NA,421142,43103,0.738,2.9,26.0,0.684,
United Kingdom,yes,yes,68.21,17.62,281.9,242,83.4,0.31,0.181914126962098,2.3468577528801,89,2826442,41855,0.914,8.1,35.1,0.399,United Kingdom of Great Britain and Northern Ireland
United Rep. of Tanzania,no,no,61.5,43.29,69.4,947,33.8,0.96,0.0058957218374979,4.85154785176155,NA,60037,1084,0.441,5.1,40.5,0.591,
United States of America,yes,yes,332.92,18.24,36.4,9834,82.3,0.61,0.320593119050163,2.49113173309193,91,21433226,65134,0.903,7.85,41.5,0.527,
United States Virgin Islands,no,no,0.1,NA,297.8,0,95.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Uruguay,no,no,3.49,20.22,19.9,174,95.3,0.41,0.0233497625940874,2.79554666617926,36,56046,16190,0.733,8.85,40.2,0.176,
Uzbekistan,no,no,33.94,28.75,79.8,449,50.5,0.52,0.0167663692082992,5.24207713780226,NA,57921,1756,0.718,2.12,35.3,0.313,
Vanuatu,no,no,0.31,38.15,25.8,12,25.3,NA,NA,NA,NA,907,3023,0.529,NA,32.3,NA,
Venezuela (Boliv. Rep. of),no,no,28.7,26.54,32.5,930,88.2,0.8,0.0164175362226721,4.33136162221914,12,134960,4733,0.741,2.11,44.8,0.52,"Venezuela, Bolivarian Republic of"
Viet Nam,no,no,98.17,23.17,316.6,331,35.9,0.39,0.087810671138706,3.78309935825152,20,261921,2715,0.626,2.94,35.7,0.263,
Wallis and Futuna Islands,no,no,0.01,NA,79.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,France
Western Sahara,no,no,0.61,NA,2.3,266,86.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
